,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
0,"Boult Boost Hybrid ANC & ENC Mic, 65H Battery, 40mm Boo...","₹3,999","₹9,999",60% off,4.1,(164),Electronics,Headphones,Boult
1,"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","₹1,299","₹2,999",56% off,4.1,"(1,05,398)",Electronics,Headphones,Boult
2,boAt Rockerz 255 Pro+ with ASAP Charge and upto 60 Hour...,"₹1,098","₹3,990",72% off,4.2,"(4,36,669)",Electronics,Headphones,boAt
3,boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹899,"₹2,490",63% off,4,"(11,46,438)",Electronics,Headphones,boAt
4,boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹899,"₹2,490",63% off,4,"(11,46,438)",Electronics,Headphones,boAt
5,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","₹1,099","₹2,499",56% off,4.1,"(1,24,506)",Electronics,Headphones,Boult
6,OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"₹1,599","₹3,999",60% off,4.3,"(3,84,039)",Electronics,Headphones,OPPO
7,GUGGU NH-219 SH12 Headset Super Extra Bass Bluetooth He...,₹579,"₹1,149",49% off,4.2,(9),Electronics,Headphones,GUGGU
8,"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...","₹1,099","₹2,490",55% off,4.1,"(86,092)",Electronics,Headphones,boAt
9,"realme Buds T300 with 12.4mm Driver, 30dB ANC, 360 Spat...","₹1,799","₹3,999",55% off,4.3,"(83,185)",Electronics,Headphones,realme
10,"house of common Ultrapod Earbud, Bluetooth TWS with Dis...",₹479,"₹2,999",84% off,5,(10),Electronics,Headphones,house
11,"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","₹1,299","₹2,999",56% off,4.1,"(1,05,398)",Electronics,Headphones,Boult
12,boAt Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,₹799,"₹2,490",67% off,4.1,"(4,09,363)",Electronics,Headphones,boAt
13,"TECHNUV S460 ANC High Quality Pure Sound, IPX5 Touch, M...",₹599,"₹2,499",76% off,4,(147),Electronics,Headphones,TECHNUV
14,"boAt Airdopes 161, Adv 4Mic ENx, 50H Battery,Fast Charg...",₹899,"₹2,990",69% off,3.9,"(11,161)",Electronics,Headphones,boAt
15,"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers,...",₹799,"₹3,490",77% off,3.9,"(4,08,296)",Electronics,Headphones,boAt
16,"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mi...","₹1,299","₹3,499",62% off,4,"(5,58,058)",Electronics,Headphones,Noise
17,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",₹999,"₹2,999",66% off,4.1,"(36,690)",Electronics,Headphones,Boult
18,GUGGU FG-169 SH12 Headset Super Extra Bass Bluetooth He...,₹579,"₹1,149",49% off,2.5,(11),Electronics,Headphones,GUGGU
19,"boAt Rockerz 450 w/ 40mm Drivers, 15 HRS Playback, Soft...","₹1,499","₹3,990",62% off,4.3,"(3,67,337)",Electronics,Headphones,boAt
20,"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","₹1,299","₹2,999",56% off,4.1,"(1,05,398)",Electronics,Headphones,Boult
21,"Noise Buds VS102 Pro with ANC (25dB), 70 Hours Playtime...","₹1,599","₹4,999",68% off,3.8,"(54,447)",Electronics,Headphones,Noise
22,boAt 100 Wired,₹329,₹999,67% off,4.3,"(14,12,766)",Electronics,Headphones,boAt
23,OnePlus Bullets Wireless Z2 Bluetooth,"₹1,799","₹2,299",21% off,4.3,"(10,61,535)",Electronics,Headphones,OnePlus
24,"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...","₹1,099","₹2,490",55% off,4.1,"(86,092)",Electronics,Headphones,boAt
25,"CMF by Nothing Buds 42 dB Active Noise Cancellation, Ul...","₹2,499","₹2,999",16% off,4.3,"(31,518)",Electronics,Headphones,CMF
26,"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...","₹1,299","₹5,499",76% off,4.1,"(95,464)",Electronics,Headphones,Boult
27,"boAt Rockerz 551 ANC with Hybrid ANC, 100 HRS Playback,...","₹3,499","₹7,990",56% off,3.9,"(4,018)",Electronics,Headphones,boAt
28,GUGGU GW-201 SH12 Headset Super Extra Bass Bluetooth He...,₹579,"₹1,149",49% off,3.2,(11),Electronics,Headphones,GUGGU
29,CMF by Nothing Neckband Pro 50dB Active Noise Cancellat...,"₹2,099","₹2,499",16% off,4.1,"(22,757)",Electronics,Headphones,CMF
30,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",₹799,"₹3,499",77% off,4,"(74,713)",Electronics,Headphones,truke
31,"truke BTG Ultra with 60H Playtime, 360Spatial, Low Late...",₹799,"₹2,999",73% off,4,"(9,827)",Electronics,Headphones,truke
32,"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...","₹1,199","₹5,499",78% off,4.1,"(95,464)",Electronics,Headphones,Boult
33,"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,199","₹5,990",79% off,4.1,"(80,700)",Electronics,Headphones,boAt
34,Clairbell NF-199 SH12 Headset Super Extra Bass Bluetoot...,₹579,"₹1,149",49% off,3.8,(13),Electronics,Headphones,Clairbell
35,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...",₹999,"₹2,499",60% off,4.1,"(1,24,506)",Electronics,Headphones,Boult
36,"Boult ProBass EQCharge with ZEN Mode ENC, 32hrs Playtim...",₹799,"₹4,499",82% off,3.9,"(1,32,496)",Electronics,Headphones,Boult
37,"Noise Buds VS102 Pro with ANC (25dB), 70 Hours Playtime...","₹1,599","₹3,999",60% off,3.8,"(54,447)",Electronics,Headphones,Noise
38,"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹999,"₹4,999",80% off,4.1,"(3,10,952)",Electronics,Headphones,Boult
39,boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹899,"₹2,490",63% off,4,"(11,46,438)",Electronics,Headphones,boAt
40,"Noise Aura Buds with Dual Device Pairing, 60 Hours of P...","₹1,499","₹4,499",66% off,4,"(4,870)",Electronics,Headphones,Noise
41,"Noise Buds MVP102 with Dual Pairing, 60 Hours Playtime,...","₹1,399","₹2,999",53% off,3.9,"(1,931)",Electronics,Headphones,Noise
42,"boAt Airdopes 800 w/ Dolby Audio, 4 Mics AI-ENx Tech, T...","₹1,499","₹6,490",76% off,4.1,"(5,422)",Electronics,Headphones,boAt
43,"ZEBRONICS Zeb- Thunder, With 60H Backup, BT v5.3, Gamin...",₹799,"₹1,699",52% off,4,"(77,896)",Electronics,Headphones,ZEBRONICS
44,"boAt Immortal 161 w/ Beast Mode(40ms Low Latency), 40 H...",₹999,"₹3,499",71% off,4,"(11,46,438)",Electronics,Headphones,boAt
45,"realme Buds T110 (RMA2306) with AI ENC for calls, 38 ho...","₹1,499","₹2,999",50% off,4.1,"(74,350)",Electronics,Headphones,realme
46,"truke BTG Flex buds with Dual Pairing, 60Hrs Battery, H...",₹999,"₹3,499",71% off,4.2,"(1,318)",Electronics,Headphones,truke
47,"truke Buds Freedom OWS with QuadMic PureVoice ENC, 60H ...","₹1,499","₹6,999",78% off,3.9,"(1,224)",Electronics,Headphones,truke
48,Aroma B119C Carter 48 Hours Playing Time Fast Charging ...,₹299,"₹2,299",86% off,3.9,"(92,016)",Electronics,Headphones,Aroma
49,"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...","₹1,299","₹2,499",48% off,4.2,"(4,22,253)",Electronics,Headphones,realme
50,"Noise Buds X prime with 120 Hrs of Playtime, ENC with Q...","₹1,599","₹4,499",64% off,3.9,"(3,497)",Electronics,Headphones,Noise
51,"Noise Buds X prime with 120 Hrs of Playtime, ENC with Q...","₹1,599","₹4,499",64% off,3.9,"(3,497)",Electronics,Headphones,Noise
52,"boAt Airdopes 71 w/ 40 HRS Playback, ENx Technology & B...",₹899,"₹3,990",77% off,3.9,"(71,864)",Electronics,Headphones,boAt
53,Ucool Nexa 100 Hours Playtime Bluetooth Wireless Neckba...,₹501,"₹2,999",83% off,4,"(14,912)",Electronics,Headphones,Ucool
54,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",₹799,"₹3,499",77% off,4,"(74,713)",Electronics,Headphones,truke
55,"Boult Mustang Torq with 50 Hrs Battery, App Support, 4 ...","₹1,799","₹5,999",70% off,4.1,"(14,106)",Electronics,Headphones,Boult
56,"Noise Buds VS102 Pro with ANC (25dB), 70 Hours Playtime...","₹1,599","₹4,999",68% off,3.8,"(54,447)",Electronics,Headphones,Noise
57,"truke Clarity 6 with 80Hr Battery, 6Mic Adv.ENC, Dual C...","₹1,499","₹3,699",59% off,3.7,"(3,250)",Electronics,Headphones,truke
58,boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,"₹1,599","₹7,990",79% off,4.2,"(71,327)",Electronics,Headphones,boAt
59,"realme Buds T110 (RMA2306) with AI ENC for calls, 38 ho...","₹1,499","₹2,999",50% off,4.1,"(74,350)",Electronics,Headphones,realme
60,HOPPUP Predator Xo4 Gaming Earbuds with 35MS Low Latenc...,₹999,"₹4,999",80% off,4.1,"(4,501)",Electronics,Headphones,HOPPUP
61,"truke BTG Flex buds with Dual Pairing, 60Hrs Battery, H...","₹1,199","₹3,499",65% off,4.2,"(1,318)",Electronics,Headphones,truke
62,"Noise TWO with 50 Hours Playtime, Low latency (up to 40...","₹1,699","₹4,999",66% off,4,"(6,068)",Electronics,Headphones,Noise
63,boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,₹799,"₹2,990",73% off,4,"(18,96,429)",Electronics,Headphones,boAt
64,Mi Basic Wired Headset with Mic,₹398,₹599,33% off,4.3,"(7,77,825)",Electronics,Headphones,Mi
65,"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...","₹1,299","₹2,499",48% off,4.2,"(4,22,253)",Electronics,Headphones,realme
66,"Noise Aura Buds with Dual Device Pairing, 60 Hours of P...","₹1,399","₹4,499",68% off,4,"(4,870)",Electronics,Headphones,Noise
67,"Boult Z40 Gaming with 60H Battery, App Support, Dual Pa...",₹999,"₹5,499",81% off,4.1,"(3,10,952)",Electronics,Headphones,Boult
68,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",₹999,"₹5,499",81% off,4,"(4,28,027)",Electronics,Headphones,Boult
69,JBL C50HI Wired,₹499,₹699,28% off,4,"(1,60,165)",Electronics,Headphones,JBL
70,"Boult Klarity 3 ANC 50dB Hybrid ANC, 6 Mics, App Suppor...","₹1,999","₹5,999",66% off,4.1,"(14,106)",Electronics,Headphones,Boult
71,"Noise Buds MVP102 with Dual Pairing, 60 Hours Playtime,...","₹1,399","₹2,999",53% off,3.9,"(1,931)",Electronics,Headphones,Noise
72,"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...","₹1,199","₹5,999",80% off,4.1,"(47,195)",Electronics,Headphones,Boult
73,"boAt Rockerz Trinity with 150 Hours Playback, Crystal B...","₹1,099","₹3,990",72% off,4,"(52,869)",Electronics,Headphones,boAt
74,"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...","₹1,299","₹2,499",48% off,4.2,"(4,22,253)",Electronics,Headphones,realme
