,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
0,DCS Pro FITNESS GYM KIT + 3Ft. (Straight + Bend) RODS &...,"₹1,499","₹3,999",62% off,3.9,(15),"Sports, Fitness, and Outdoor",Sports Equipment,DCS
1,"Shopeleven Multi-Functional Training Band, Body Shaping...","₹1,399","₹2,999",53% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Shopeleven
2,Oddish fitness combo Double spring Tummy Trimmer 12 inc...,₹329,"₹1,999",83% off,4,"(3,527)","Sports, Fitness, and Outdoor",Sports Equipment,Oddish
3,Proactive Sports & Fitness Wooden Rope with Rope Length...,₹188,₹499,62% off,3.8,(825),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
4,Reverie Retail GripGuard Spectacle Ear Hooks: Secure Yo...,₹190,₹300,36% off,3.6,(25),"Sports, Fitness, and Outdoor",Sports Equipment,Reverie
5,L'AVENIR Sports & Fitness 4mtr Speed Ladder + 12pcs. Co...,"₹2,321","₹2,999",22% off,4.3,(296),"Sports, Fitness, and Outdoor",Sports Equipment,L'AVENIR
6,Fitnesstricks ULTIMATE AMAZING FITNESS KIT Fitness Acce...,₹759,"₹1,699",55% off,4.1,(25),"Sports, Fitness, and Outdoor",Sports Equipment,Fitnesstricks
7,KutumB Premium Quality Double Spring Tummy Trimmer For ...,₹449,"₹1,499",70% off,4.3,(35),"Sports, Fitness, and Outdoor",Sports Equipment,KutumB
8,Fitnesstricks Anytime Fitness Kit 14 in 1 Push up Board...,₹629,"₹3,999",84% off,4.8,(13),"Sports, Fitness, and Outdoor",Sports Equipment,Fitnesstricks
9,Hipkoo Sports Bring combo (Hand Gripper and pencil skip...,₹299,₹400,25% off,4,(8),"Sports, Fitness, and Outdoor",Sports Equipment,Hipkoo
10,Oddish way to toning tube and hand grip combo kit Fitne...,₹249,"₹1,299",80% off,4,"(4,585)","Sports, Fitness, and Outdoor",Sports Equipment,Oddish
11,PRO365 Double Spring Tummy Trimmer with Toning Tube For...,₹499,₹999,50% off,4.1,"(15,134)","Sports, Fitness, and Outdoor",Sports Equipment,PRO365
12,Hipkoo Sports Hip Hop combo (Wooden skipping rope and p...,₹309,₹400,22% off,3.5,(8),"Sports, Fitness, and Outdoor",Sports Equipment,Hipkoo
13,iamalot Combo Pack of3 D-Hand Grip with Finger Exercise...,₹449,₹999,55% off,4.1,(30),"Sports, Fitness, and Outdoor",Sports Equipment,iamalot
14,Khargadham Tummy Trimmer with AB Roller & Push Up Bars ...,₹599,"₹1,100",45% off,3.9,"(1,124)","Sports, Fitness, and Outdoor",Sports Equipment,Khargadham
15,Fitnesstricks Tummy Trimmer with Double Spring Home Gym...,₹339,₹999,66% off,5,(3),"Sports, Fitness, and Outdoor",Sports Equipment,Fitnesstricks
16,Spegi Tummy Trimmer for Men & Women ABS Exerciser Equip...,₹569,₹999,43% off,5,(4),"Sports, Fitness, and Outdoor",Sports Equipment,Spegi
17,Spegi Tummy Trimmer for Men & Women ABS Exerciser Equip...,₹474,₹999,52% off,5,(4),"Sports, Fitness, and Outdoor",Sports Equipment,Spegi
18,GOCART Fitness AB Roller 4 Wheel Home Workout Machine A...,₹647,"₹1,599",59% off,4.3,(268),"Sports, Fitness, and Outdoor",Sports Equipment,GOCART
19,Rocko 10 kg 3 In 1 Convertible Dumbbells & Barbell Home...,₹679,"₹1,599",57% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Rocko
20,Pheonix Fitness Combo Of Double Toning Tube With Foam H...,₹241,"₹1,299",81% off,3.8,(428),"Sports, Fitness, and Outdoor",Sports Equipment,Pheonix
21,Spegi Double-wheeled Abdominal Cross-fit Gym Equipment ...,₹473,₹999,52% off,5,(4),"Sports, Fitness, and Outdoor",Sports Equipment,Spegi
22,L'AVENIR Sports & Fitness 4mtr Speed Ladder + 12pcs. Co...,"₹2,299","₹2,999",23% off,4.4,(65),"Sports, Fitness, and Outdoor",Sports Equipment,L'AVENIR
23,L'AVENIR Sports & Fitness combo of Adjustable Hand Grip...,₹265,₹999,73% off,4.1,(272),"Sports, Fitness, and Outdoor",Sports Equipment,L'AVENIR
24,L'AVENIR Sports & Fitness 4mtr Speed / Agility Ladder +...,"₹1,131","₹1,699",33% off,4.6,(27),"Sports, Fitness, and Outdoor",Sports Equipment,L'AVENIR
25,Raizex Combo of Gym Bag Duffel Bag with Shoulder Strap ...,₹289,₹999,71% off,4.3,(73),"Sports, Fitness, and Outdoor",Sports Equipment,Raizex
26,Spegi Ab Wheel and Toning Tube for Men and Women Ab Exe...,₹799,"₹1,999",60% off,4.7,(12),"Sports, Fitness, and Outdoor",Sports Equipment,Spegi
27,Oddish Fitness combo Double spring Tummy Trimmer 12 inc...,₹499,"₹1,999",75% off,4,(104),"Sports, Fitness, and Outdoor",Sports Equipment,Oddish
28,Proactive Sports & Fitness Tummy Trimmer & Tummy Twiste...,₹544,"₹1,399",61% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
29,Proactive A1VK Sports & Fitness Resistance Tube Skpping...,₹219,"₹1,799",87% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
30,Pheonix Combo Of Finger Exerciser With Foam Hand Grippe...,₹179,₹899,80% off,3.6,(111),"Sports, Fitness, and Outdoor",Sports Equipment,Pheonix
31,Pheonix Combo Of Adjustable Hand Gripper With Foam Hand...,₹197,₹699,71% off,4.1,(24),"Sports, Fitness, and Outdoor",Sports Equipment,Pheonix
32,whinsy Pull Reducer with Tummy Twister Home Gym Combo G...,₹425,₹999,57% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,whinsy
33,L'AVENIR Fitness Toning / Resistance Pull Rope / Tube &...,₹305,"₹1,199",74% off,4,(12),"Sports, Fitness, and Outdoor",Sports Equipment,L'AVENIR
34,AVENUE Ab Builder and Tummy Trimmer Ab Pull Exerciser A...,₹459,"₹1,299",64% off,3.2,(73),"Sports, Fitness, and Outdoor",Sports Equipment,AVENUE
35,Shopeleven Tummy Trimmer Double Spring With Acupressure...,₹597,"₹1,499",60% off,3.9,"(2,886)","Sports, Fitness, and Outdoor",Sports Equipment,Shopeleven
36,Spegi Tummy Trimmer and Ab Wheel for Men and Women Ab E...,₹949,"₹2,499",62% off,4.7,(12),"Sports, Fitness, and Outdoor",Sports Equipment,Spegi
37,Spegi Double Spring Tummy Trimmer ={ SWEAT BELT } Ab Ex...,₹599,"₹2,500",76% off,4.1,(53),"Sports, Fitness, and Outdoor",Sports Equipment,Spegi
38,Fitaza Pull Reducer Body Exerciser Ab Exerciser,₹349,₹899,61% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Fitaza
39,Fitnesstricks Tummy Trimmer with AB Roller & Push Up Ba...,₹629,₹999,37% off,3.2,(55),"Sports, Fitness, and Outdoor",Sports Equipment,Fitnesstricks
40,CODIVER Heavy quality skipping rope tummy twister and w...,₹589,"₹1,599",63% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CODIVER
41,5 O' CLOCK SPORTS Red Gym Bag & Red Gym Gloves Combo Fi...,₹549,"₹1,000",45% off,3,(4),"Sports, Fitness, and Outdoor",Sports Equipment,5
42,Sector Z DODOE Fitness Accessory Kit Kit,₹229,₹499,54% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Sector
43,HMFURRYS FINEST Sports Duffle Bag Combo with weight lif...,₹699,₹999,30% off,4,(21),"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
44,Proactive Sports & Fitness Ab Wheel/roller Exerciser & ...,₹594,"₹1,399",57% off,4.1,(29),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
45,Fitnesstricks SPECIAL OFFER GYM & FITNESS KIT 14in1 Pus...,₹629,"₹4,299",85% off,3.6,(12),"Sports, Fitness, and Outdoor",Sports Equipment,Fitnesstricks
46,"Fitaza Waist Reducer, Pull Rope Exerciser Ab Exerciser ...",₹345,₹999,65% off,3.1,(7),"Sports, Fitness, and Outdoor",Sports Equipment,Fitaza
47,Vijay Sports Ab Wheel Ab Exerciser,₹222,₹999,77% off,3.5,(11),"Sports, Fitness, and Outdoor",Sports Equipment,Vijay
48,Buyword Abs wheel Body exercier Ab Exerciser,₹259,₹999,74% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Buyword
49,Proactive Sports & Fitness EASY Work-Out Ab roller Exer...,₹252,₹655,61% off,4.2,(92),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
50,"SHIVAM SPORTS GYM fitness flat bench one pc, home gym w...","₹1,899","₹3,000",36% off,4.1,(35),"Sports, Fitness, and Outdoor",Sports Equipment,SHIVAM
51,DCS Pro 50 kg FITNESS 50kg PVC GYM KIT + 3ft. Straight ...,"₹2,398","₹6,999",65% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,DCS
52,5 O' CLOCK SPORTS Gym Bag Combo Set Enclosed With Body ...,₹509,₹799,36% off,4.3,(6),"Sports, Fitness, and Outdoor",Sports Equipment,5
53,L'AVENIR Sports & Fitness combo of Resistance / Toning ...,₹571,"₹1,399",59% off,4,(184),"Sports, Fitness, and Outdoor",Sports Equipment,L'AVENIR
54,Proactive Sports & Fitness Ball Bearing Jump Rope Fitne...,₹224,₹599,62% off,3.7,(101),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
55,Proactive Sports & Fitness Resistance / Toning /Work-Ou...,₹331,"₹1,199",72% off,3.9,(324),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
56,whinsy AB wheel roller & Pull reducer Fitness Accessory...,₹399,₹599,33% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,whinsy
57,Wrodss BodyBuilding Fitness Gym Bag/ Duffel Bag/ Travel...,₹349,"₹1,299",73% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Wrodss
58,Proactive Sports & Fitness Ab Wheel/roller Exerciser & ...,₹559,"₹1,399",60% off,3.8,(17),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
59,"5 O' CLOCK SPORTS Gym Bag , Gym Gloves and Skipping rop...",₹739,"₹1,100",32% off,5,(3),"Sports, Fitness, and Outdoor",Sports Equipment,5
60,Fitaza Ab Builder and Tummy Trimmer Ab Pull Exerciser A...,₹341,₹899,62% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Fitaza
61,Fitaza Ab Builder and Tummy Trimmer Ab Pull Exerciser A...,₹410,₹799,48% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Fitaza
62,GOCART 4 Wheel Ab Roller Exercise Equipment Ergonomic A...,₹799,"₹2,395",66% off,3.8,(9),"Sports, Fitness, and Outdoor",Sports Equipment,GOCART
63,IRIS rsabwheel Ab Exerciser,₹549,"₹1,500",63% off,3.7,(257),"Sports, Fitness, and Outdoor",Sports Equipment,IRIS
64,SHIVAM SPORTS Multipurpose Fitness Bench,"₹3,850","₹10,000",61% off,4.1,(35),"Sports, Fitness, and Outdoor",Sports Equipment,SHIVAM
65,DCS Pro 50 kg FITNESS 50kg PVC GYM SET + 3ft. Straight ...,"₹2,398","₹6,999",65% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,DCS
66,Proactive Sports & Fitness Ab Wheel/roller Exerciser & ...,₹299,"₹1,399",78% off,2.8,(4),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
67,"L'AVENIR FITNESS Latex tubes Chest Expander, Ab Exercis...",₹521,₹999,47% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,L'AVENIR
68,L'AVENIR FITNESS Ab Exerciser + Chest Expander + Adjust...,₹635,"₹1,399",54% off,3.7,(3),"Sports, Fitness, and Outdoor",Sports Equipment,L'AVENIR
69,HMFURRYS FINEST Sports & Fitness Gym Bag with 500 ml Sh...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
70,HMFURRYS FINEST Sports Duffle Bag with Gym Gloves and 5...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
71,L'AVENIR SPORTS & FITNESS Abdominal Exerciser + Chest E...,₹594,"₹1,399",57% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,L'AVENIR
72,HMFURRYS FINEST Sports & Fitness Gym Bag with weight li...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
73,Proactive Sports & Fitness Ab Wheel/roller Exerciser & ...,₹434,"₹1,399",68% off,3.3,(4),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
74,Jackky Revoflex Xtreme Home Gym Abs Exercise Fitness Tr...,₹596,₹999,40% off,3.6,(55),"Sports, Fitness, and Outdoor",Sports Equipment,Jackky
75,"SNEH CREATION Waist Reducer, Pull Rope Exerciser Ab Exe...",₹369,"₹1,455",74% off,3.4,(25),"Sports, Fitness, and Outdoor",Sports Equipment,SNEH
76,Revoflex Xtreme revo abs core Ab Exerciser,₹475,₹999,52% off,3.4,(8),"Sports, Fitness, and Outdoor",Sports Equipment,Revoflex
77,TS Today Sports Men and Women Perfect 4 in 1 Magnetic T...,₹298,₹816,63% off,4.1,(10),"Sports, Fitness, and Outdoor",Sports Equipment,TS
78,SHIVAM SPORTS Flat Fitness Bench,"₹1,749","₹2,500",30% off,4.1,(35),"Sports, Fitness, and Outdoor",Sports Equipment,SHIVAM
