,Unnamed: 0,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
0,0,Oddish R SHAPE ADJUSTABLE SPRING COUNTER HAND GRIP Hand...,₹180,"₹1,299",86% off,4.1,"(9,562)","Sports, Fitness, and Outdoor",Yoga Accessories,Oddish
1,1,BoldFire Power Twister Bar - Upper Body Exercise for Ch...,₹348,₹999,65% off,3.8,(94),"Sports, Fitness, and Outdoor",Yoga Accessories,BoldFire
2,2,BOLDFIT Mini Loop Band Heavy Bands Workout Theraband Hi...,₹329,₹399,17% off,4.3,"(1,326)","Sports, Fitness, and Outdoor",Yoga Accessories,BOLDFIT
3,3,BOLDFIT Heavy Resistance Band Set For Exercise Stretchi...,₹998,"₹1,499",33% off,4.4,(136),"Sports, Fitness, and Outdoor",Yoga Accessories,BOLDFIT
4,4,Flexfoece Bodyshaper 11 in 1 Resistance Tube,₹317,"₹1,474",78% off,3.7,(25),"Sports, Fitness, and Outdoor",Yoga Accessories,Flexfoece
5,5,HealthHike Yoga Band Resistance Exercise Band for exerc...,₹310,₹699,55% off,4.0,"(1,359)","Sports, Fitness, and Outdoor",Yoga Accessories,HealthHike
6,6,Joyfit 150 lbs Stackable Toning Tubes with Mini Resista...,"₹1,981","₹5,000",60% off,4.5,(78),"Sports, Fitness, and Outdoor",Yoga Accessories,Joyfit
7,7,Joyfit Toning Tube Set of 5 with Foam Handles for Exerc...,"₹1,499","₹3,000",50% off,4.3,(113),"Sports, Fitness, and Outdoor",Yoga Accessories,Joyfit
8,8,MAYOR Pain Relief Belt for Men and Women with shoulder ...,₹259,"₹1,999",87% off,3.7,"(4,443)","Sports, Fitness, and Outdoor",Yoga Accessories,MAYOR
9,9,MAYOR Belt Support for Men & Women with Back Pain & Bac...,₹259,"₹1,999",87% off,3.7,"(4,443)","Sports, Fitness, and Outdoor",Yoga Accessories,MAYOR
10,10,BOLDFIT Mini Loop Resistance Band Heavy Bands Workout T...,₹379,₹499,24% off,4.0,"(1,022)","Sports, Fitness, and Outdoor",Yoga Accessories,BOLDFIT
11,11,Flexnest Flexbangle ( 1lbs X 2 ) Adjustable Orange Ankl...,"₹1,499","₹4,998",70% off,4.6,(12),"Sports, Fitness, and Outdoor",Yoga Accessories,Flexnest
12,12,yo yo trader Power Set for Workout Resistance Tube (Mul...,₹359,₹999,64% off,3.7,"(1,084)","Sports, Fitness, and Outdoor",Yoga Accessories,yo
13,13,"ORTHX L.S BELT -BACK PAIN SUPPORT, WAIST SUPPORT FOR UN...",₹279,₹999,72% off,4.0,"(4,894)","Sports, Fitness, and Outdoor",Yoga Accessories,ORTHX
14,14,"Dr. Ortho Knee Cap for Pain Relief, Sports, Gym, Exerci...",₹263,₹375,29% off,4.2,"(23,361)","Sports, Fitness, and Outdoor",Yoga Accessories,Dr.
15,15,"Dr. Ortho for Pain Relief, Sports, Gym, Exercise, Runni...",₹263,₹375,29% off,4.2,"(23,361)","Sports, Fitness, and Outdoor",Yoga Accessories,Dr.
16,16,AGEasy Comfort Knee Cap Anti-Slip with Cotton Inner Lin...,₹489,"₹1,200",59% off,4.0,(47),"Sports, Fitness, and Outdoor",Yoga Accessories,AGEasy
17,17,AGEasy Comfort Knee Cap Anti-Slip with Cotton Inner Lin...,₹489,"₹1,200",59% off,3.9,(18),"Sports, Fitness, and Outdoor",Yoga Accessories,AGEasy
18,18,Dr. Ortho Knee Support Knee Support,₹263,₹375,29% off,4.2,"(42,134)","Sports, Fitness, and Outdoor",Yoga Accessories,Dr.
19,19,NSP Fitness Black PVC Hexa Shape 5kg X 2pcs Fixed Weigh...,₹599,"₹1,196",49% off,3.7,(931),"Sports, Fitness, and Outdoor",Yoga Accessories,NSP
20,20,"Leosportz Yoga Stretching Strap, Ligaments of Leg Stret...",₹299,₹900,66% off,4.0,(76),"Sports, Fitness, and Outdoor",Yoga Accessories,Leosportz
21,21,ArrowMax Resistance Band Yoga Physiotherapy Stretch The...,₹270,"₹1,299",79% off,3.9,(10),"Sports, Fitness, and Outdoor",Yoga Accessories,ArrowMax
22,22,"Joyfit Adjustable Toning Tube, Exercise Tube For Workou...",₹301,"₹1,400",78% off,4.0,(229),"Sports, Fitness, and Outdoor",Yoga Accessories,Joyfit
23,23,keycraze FItness Natural Tension Health Elastic Exercis...,₹291,₹799,63% off,3.8,(217),"Sports, Fitness, and Outdoor",Yoga Accessories,keycraze
24,24,"NIRVA Exercise Bands, Set of 4 Exercise Loops Workout B...",₹352,"₹1,599",77% off,3.9,(237),"Sports, Fitness, and Outdoor",Yoga Accessories,NIRVA
25,25,Dr. Ortho Orthopaedic Back Support (Backrest) - High De...,"₹1,119","₹1,498",25% off,4.1,(380),"Sports, Fitness, and Outdoor",Yoga Accessories,Dr.
26,26,AGEasy Comfort Knee Cap + Pain Relief Gel (50g) Knee an...,₹579,"₹1,420",59% off,4.3,(22),"Sports, Fitness, and Outdoor",Yoga Accessories,AGEasy
27,27,AGEasy Comfort Lumbo Sacral Back Support Belt (Lumbar S...,₹829,"₹1,599",48% off,4.3,(59),"Sports, Fitness, and Outdoor",Yoga Accessories,AGEasy
28,28,TENACT Premium Belt for Men & Women Pain Relief Posture...,₹419,"₹1,999",79% off,3.6,(738),"Sports, Fitness, and Outdoor",Yoga Accessories,TENACT
29,29,Seeotwo 3 Pieces Slim Black Non-Slip Silicone Grip Elas...,₹329,₹500,34% off,4.3,(133),"Sports, Fitness, and Outdoor",Yoga Accessories,Seeotwo
30,30,yo yo trader Power Resistance Band Set for Workout Resi...,₹545,₹877,37% off,3.7,"(1,084)","Sports, Fitness, and Outdoor",Yoga Accessories,yo
31,31,AGEasy Comfort Knee Cap + Pain Relief Roll On (40mL) Kn...,₹619,"₹1,450",57% off,4.3,(22),"Sports, Fitness, and Outdoor",Yoga Accessories,AGEasy
32,32,"Dr. Ortho Cap for Pain Relief, Sports, Gym, Exercise, R...",₹263,₹320,17% off,4.2,"(42,134)","Sports, Fitness, and Outdoor",Yoga Accessories,Dr.
33,33,BOLDFIT Ankle Binder For Pain Relief Grip Gym Brace Wra...,₹299,₹999,70% off,3.8,(701),"Sports, Fitness, and Outdoor",Yoga Accessories,BOLDFIT
34,34,BOLDFIT Sports Cap Binder Pain Relief Compression Banda...,₹399,₹999,60% off,4.1,"(2,730)","Sports, Fitness, and Outdoor",Yoga Accessories,BOLDFIT
35,35,Nyamah sales No-Bounce Breast Support Belt Post-Surgery...,₹219,₹499,56% off,3.7,"(1,032)","Sports, Fitness, and Outdoor",Yoga Accessories,Nyamah
36,36,Dee Fit High quality PVC 10kg Hexa Dumbbell each is 5+5...,₹599,"₹1,699",64% off,3.7,(519),"Sports, Fitness, and Outdoor",Yoga Accessories,Dee
37,37,MINESFIT 11Pc Resistance Bands Elastic Rubber Rope Spor...,₹349,"₹1,299",73% off,3.5,(18),"Sports, Fitness, and Outdoor",Yoga Accessories,MINESFIT
38,38,Agam A-Tape Resistance Exercise Tubing Set for Strength...,"₹1,099","₹2,999",63% off,,,"Sports, Fitness, and Outdoor",Yoga Accessories,Agam
39,39,"Pawells Rope Toning Bands for Physical Therapy, Stretch...",₹182,₹799,77% off,,,"Sports, Fitness, and Outdoor",Yoga Accessories,Pawells
40,40,HEAD Power Tube Unbreakable Resistance Band with Nylon ...,₹599,₹799,25% off,3.0,(3),"Sports, Fitness, and Outdoor",Yoga Accessories,HEAD
41,41,AOVALO Non slip squat wedge slant board calf stretcher ...,"₹3,899","₹7,999",51% off,,,"Sports, Fitness, and Outdoor",Yoga Accessories,AOVALO
42,42,BOLDFIT Ankle Support For Pain Relief Ankle Wrap Grip G...,₹349,₹999,65% off,4.3,"(1,360)","Sports, Fitness, and Outdoor",Yoga Accessories,BOLDFIT
43,43,BOLDFIT Kinesiology Tape Knee support Shoulder Muscle T...,₹299,"₹1,099",72% off,4.3,"(1,174)","Sports, Fitness, and Outdoor",Yoga Accessories,BOLDFIT
44,44,BOLDFIT Knee Cap For Pain Relief Guard Brace Band Gym K...,₹599,₹999,40% off,4.3,(645),"Sports, Fitness, and Outdoor",Yoga Accessories,BOLDFIT
45,45,TruHabit Knee Cap for Women (XL) Anti-Slip Knee Support...,₹249,₹999,75% off,4.6,(215),"Sports, Fitness, and Outdoor",Yoga Accessories,TruHabit
46,46,AVMART Forearm Strengthener Wrist Exercise Equipment Ar...,₹323,₹699,53% off,4.8,(8),"Sports, Fitness, and Outdoor",Yoga Accessories,AVMART
47,47,HEAD Unbreakable Resistance Band Exercise Stretching Pu...,₹909,"₹1,399",35% off,,,"Sports, Fitness, and Outdoor",Yoga Accessories,HEAD
48,48,STARX PVC 2 kg Filled Dumbbells set of 2 PC Fixed Weigh...,₹499,₹800,37% off,3.9,"(9,479)","Sports, Fitness, and Outdoor",Yoga Accessories,STARX
49,49,sarita enterprises Exercise & Stretching Resistance Ban...,₹190,₹749,74% off,,,"Sports, Fitness, and Outdoor",Yoga Accessories,sarita
50,50,"Wiselife Exercise Ball, Heavy Duty Pregnancy Ball for W...",₹745,"₹1,999",62% off,4.3,(3),"Sports, Fitness, and Outdoor",Yoga Accessories,Wiselife
